pdb_id,entity_id,journal,journal_volume,journal_first_page,journal_last_page,citation_title,citation_doi,journal_page,citation_year,pubmed_id,citation_authors,status,revision_date,release_date,processing_site,deposition_site,deposition_date,superseded_by,obsoletes,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,experimental_method,experiment_data_available,title,entry_authors,sample_preparation_method,detector,detector_type,synchrotron_beamline,beam_source_name,diffraction_protocol,structure_determination_method,refinement_software,spacegroup,beam_source_type,synchrotron_site,structure_solution_software,data_reduction_software,data_scaling_software,phasing_method,SG_center_name,SG_full_name,crystallisation_reservoir,crystallisation_ph
6c1d,2,To be published,,,,High-Resolution Cryo-EM Structures of Actin-bound Myosin States Reveal the Mechanism of Myosin Force Sensing,,,,,"Mentes\, A.,Huehn\, A.,Liu\, X.,Zwolak\, A.,Dominguez\, R.,Shuman\, H.,Ostap\, E.M.,Sindelar\, C.V.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2018-01-04T01:00:00Z,,,"PF00063,PF00612","Myosin_head,IQ","P-loop_NTPase,EF_hand","Myosin head (motor domain),IQ calmodulin-binding motif",,,,,,,,,,,,,,,,,,,,Q05096,MYO1B_RAT,0.64,,"emd-7329,emd-7330,emd-7331",Electron Microscopy,,High-Resolution Cryo-EM Structures of Actin-bound Myosin States Reveal the Mechanism of Myosin Force Sensing,"Huehn\, A.,Zwolak\, A.,Liu\, X.,Ostap\, E.M.,Mentes\, A.,Sindelar\, C.V.,Shuman\, H.,Dominguez\, R.",Natural,,,,,,,,,,,,,,,,,,
5vhb,1,Chembiochem,,,,Design of aminobenzothiazole inhibitors of Rho Kinases 1 and 2 utilizing PKA as a structure surrogate.,10.1002/cbic.201700547,,2018,29314498,"Judge\, R.,Scott\, V.,Simler\, G.,Pratt\, S.,Namovic\, M.,Putman\, B.,Aguirre\, A.,Stoll\, V.,Mamo\, M.,Swann\, S.,Hobson\, A.D.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2017-04-12T01:00:00Z,,,PF00069,Pkinase,PKinase,Protein kinase domain,,,,,,,,2.7.11.11,cAMP-dependent protein kinase,ATP:protein phosphotransferase (cAMP-dependent),"Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,cAMP-dependent protein kinase",,,,,,,,,P00517,KAPCA_BOVIN,1.0,,,X-ray diffraction,y,Crystal structure of Protein Kinase A in complex with the PKI peptide and Aminobenzothiazole based inhibitor,"Judge\, R.A.",Engineered,Pixel,DECTRIS PILATUS 6M,17-ID,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 21 21 21,,APS,,,,MR,,,,
6c26,8,Nature,,,,The atomic structure of a eukaryotic oligosaccharyltransferase complex,10.1038/nature25755,,2018,,"Bai\, L.,Wang\, T.,Zhao\, G.,Kovach\, A.,Li\, H.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2018-01-06T01:00:00Z,,,PF03345,DDOST_48kD,,Oligosaccharyltransferase 48 kDa subunit beta,,,,,,,,2.4.99.18,Dolichyl-diphosphooligosaccharide--protein glycotransferase,Dolichyl-diphosphooligosaccharide:protein-L-asparagine N-beta-D-oligopolysaccharidotransferase,"Transferases,Glycosyltransferases,Transferring other glycosyl groups,Dolichyl-diphosphooligosaccharide--protein glycotransferase",,,,,,,,,P33767,OSTB_YEAST,1.0,,emd-7336,Electron Microscopy,,The Cryo-EM structure of a eukaryotic oligosaccharyl transferase complex,"Bai\, L.,Li\, H.",Natural,,,,,,,,P 1,,,,,,,,,,
5vib,2,Chembiochem,,,,Design of aminobenzothiazole inhibitors of Rho Kinases 1 and 2 utilizing PKA as a structure surrogate.,10.1002/cbic.201700547,,2018,29314498,"Judge\, R.,Scott\, V.,Simler\, G.,Pratt\, S.,Namovic\, M.,Putman\, B.,Aguirre\, A.,Stoll\, V.,Mamo\, M.,Swann\, S.,Hobson\, A.D.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2017-04-14T01:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,Q3SX13,IPKA_BOVIN,0.24,,,X-ray diffraction,y,Crystal structure of Protein Kinase A in complex with the PKI peptide and Aminobenzothiazole based inhibitors,"Judge\, R.A.",Synthetic,Pixel,DECTRIS PILATUS 6M,17-BM,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 21 21 21,,APS,,,,MR,,,,
6fic,1,To be published,,,,Bivalent Inhibitor UNC4512 Bound to the TAF1 Bromodomain Tandem,,,,,"Mathea\, S.,Suh\, J.L.,Salah\, E.,Tallant\, C.,Siejka\, P.,Pike\, A.C.W.,von Delft\, F.,Arrowsmith\, C.H.,Edwards\, A.M.,Bountra\, C.,James\, L.I.,Frye\, S.V.,Knapp\, S.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,PDBE,PDBE,2018-01-17T01:00:00Z,,,PF00439,Bromodomain,,Bromodomain,,,,,,,,"2.7.11.1,2.3.1.48","Non-specific serine/threonine protein kinase,Histone acetyltransferase","ATP:protein phosphotransferase (non-specific),Acetyl-CoA:[protein]-L-lysine acetyltransferase","Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,Non-specific serine/threonine protein kinase,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Histone acetyltransferase",,,,,,,,,P21675,TAF1_HUMAN,0.15,,,X-ray diffraction,y,Bivalent Inhibitor UNC4512 Bound to the TAF1 Bromodomain Tandem,"Salah\, E.,Arrowsmith\, C.H.,Bountra\, C.,Frye\, S.V.,Suh\, J.L.,Mathea\, S.,James\, L.I.,Edwards\, A.M.,Tallant\, C.,von Delft\, F.,Siejka\, P.,Pike\, A.C.W.,Knapp\, S.",Engineered,Pixel,DECTRIS PILATUS3 6M,I24,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 32 2 1,,DIAMOND,,,,,,,,
5vhb,2,Chembiochem,,,,Design of aminobenzothiazole inhibitors of Rho Kinases 1 and 2 utilizing PKA as a structure surrogate.,10.1002/cbic.201700547,,2018,29314498,"Judge\, R.,Scott\, V.,Simler\, G.,Pratt\, S.,Namovic\, M.,Putman\, B.,Aguirre\, A.,Stoll\, V.,Mamo\, M.,Swann\, S.,Hobson\, A.D.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2017-04-12T01:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,Q3SX13,IPKA_BOVIN,0.24,,,X-ray diffraction,y,Crystal structure of Protein Kinase A in complex with the PKI peptide and Aminobenzothiazole based inhibitor,"Judge\, R.A.",Synthetic,Pixel,DECTRIS PILATUS 6M,17-ID,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 21 21 21,,APS,,,,MR,,,,
6c0c,1,To be published,,,,To be published,,,,,"Stogios\, P.J.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2017-12-29T01:00:00Z,,,PF01636,APH,PKinase,Phosphotransferase enzyme family,,,,,,,,,,,,,,,,,,,,O68183,O68183_ENTCA,"1.0,1.0",,,X-ray diffraction,y,"Crystal structure of APH(2"")-IVa in complex with plazomicin","Di Leo\, R.,Savchenko\, A.,Joachimiak\, J.,Stogios\, P.J.,Evdokimova\, E.,Satchell\, K.J.,Center for Structural Genomics of Infectious Diseases (CSGID),Dong\, A.",Engineered,CCD,RIGAKU SATURN A200,,Rotating anode,Single wavelength,MOLECULAR REPLACEMENT,,P 1 21 1,,,,,,,CSGID,Center for Structural Genomics of Infectious Diseases,,
5nqr,1,Nat Commun,9,,,Targeted NUDT5 inhibitors block hormone signaling in breast cancer cells.,10.1038/s41467-017-02293-7,250,2018,29343827,"Page\, B.D.G.,Valerie\, N.C.K.,Wright\, R.H.G.,Wallner\, O.,Isaksson\, R.,Carter\, M.,Rudd\, S.G.,Loseva\, O.,Jemth\, A.S.,Almlof\, I.,Font-Mateu\, J.,Llona-Minguez\, S.,Baranczewski\, P.,Jeppsson\, F.,Homan\, E.,Almqvist\, H.,Axelsson\, H.,Regmi\, S.,Gustavsson\, A.L.,Lundback\, T.,Scobie\, M.,Stromberg\, K.,Stenmark\, P.,Beato\, M.,Helleday\, T.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,PDBE,PDBE,2017-04-21T01:00:00Z,,,PF00293,NUDIX,NUDIX,NUDIX domain,,,,,,,,"3.6.1.13,2.7.7.96,3.6.1.58","ADP-ribose diphosphatase,ADP-D-ribose pyrophosphorylase,8-oxo-dGDP phosphatase","ADP-D-ribose ribophosphohydrolase,ATP:D-ribose 5-phosphate adenylyltransferase,8-oxo-dGDP phosphohydrolase","Hydrolases,Acting on acid anhydrides,In phosphorus-containing anhydrides,ADP-ribose diphosphatase,Transferases,Transferring phosphorus-containing groups,Nucleotidyltransferases,ADP-D-ribose pyrophosphorylase,Hydrolases,Acting on acid anhydrides,In phosphorus-containing anhydrides,8-oxo-dGDP phosphatase",,,,,,,,,Q9UKK9,NUDT5_HUMAN,"1.0,1.0",,,X-ray diffraction,y,Potent inhibitors of NUDT5 silence hormone signaling in breast cancer,"Stenmark\, P.,Carter\, M.",Engineered,Pixel,DECTRIS PILATUS3 S 6M,14.1,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,C 1 2 1,,BESSY,,,,,,,,
5vjn,1,ACS Chem. Biol.,13,,,Synthesis of bis-Phosphate Iminoaltritol Enantiomers and Structural Characterization with Adenine Phosphoribosyltransferase.,10.1021/acschembio.7b00601,152-160,2017,29178779,"Harris\, L.D.,Harijan\, R.K.,Ducati\, R.G.,Evans\, G.B.,Hirsch\, B.M.,Schramm\, V.L.",REL,2018-01-31T01:00:00Z,2017-12-27T01:00:00Z,RCSB,RCSB,2017-04-19T01:00:00Z,,,PF00156,Pribosyltran,PRTase-like,Phosphoribosyl transferase domain,,,,,,,,2.4.2.7,Adenine phosphoribosyltransferase,AMP:diphosphate phospho-D-ribosyltransferase,"Transferases,Glycosyltransferases,Pentosyltransferases,Adenine phosphoribosyltransferase",,,,,,,,,P49435,APT1_YEAST,"0.99,0.99",,,X-ray diffraction,y,"Crystal Structure of Adenine Phosphoribosyltransferase from Saccharomyces cerevisiae Complexed with D-2,5-Dideoxy-2,5-Imino-Altritol 1,6-Bisphosphate (D-DIAB) and Adenine","Schramm\, V.L.,Ducati\, R.G.,Almo\, S.C.,Bonanno\, J.B.,Harijan\, R.K.",Engineered,CCD,RAYONIX MX-225HE,31-ID,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,C 1 2 1,,APS,,,,,,,,
4fqi,1,Science,337,,,Highly Conserved Protective Epitopes on Influenza B Viruses.,10.1126/science.1222908,1343-1348,2012,22878502,"Dreyfus\, C.,Laursen\, N.S.,Kwaks\, T.,Zuijdgeest\, D.,Khayat\, R.,Ekiert\, D.C.,Lee\, J.H.,Metlagel\, Z.,Bujny\, M.V.,Jongeneelen\, M.,van der Vlugt\, R.,Lamrani\, M.,Korse\, H.J.,Geelen\, E.,Sahin\, O.,Sieuwerts\, M.,Brakenhoff\, J.P.,Vogels\, R.,Li\, O.T.,Poon\, L.L.,Peiris\, M.,Koudstaal\, W.,Ward\, A.B.,Wilson\, I.A.,Goudsmit\, J.,Friesen\, R.H.",REL,2018-01-31T01:00:00Z,2012-08-22T01:00:00Z,RCSB,RCSB,2012-06-25T01:00:00Z,,,,,,,"IPR000149,IPR001364,IPR013828,IPR008980","Haemagglutinin\, influenzavirus A,Haemagglutinin\, influenzavirus A/B,Haemagglutinin\, HA1 chain\, alpha/beta domain superfamily,Viral capsid/haemagglutinin protein","2.10.77.10,3.90.209.20","Mainly Beta,Alpha Beta","Ribbon,Alpha-Beta Complex","Hemagglutinin; Chain A\, domain 2,Hemagglutinin (Ha1 Chain); Chain: A; domain 1","Hemagglutinin Chain A\, Domain 2,Hemagglutinin (Ha1 Chain); Chain: A; domain 1",,,,,"GO:0019064,GO:0046789,GO:0019031",fusion of virus membrane with host plasma membrane,host cell surface receptor binding,viral envelope,,,,,Q6DQ33,Q6DQ33_9INFA,0.58,,,X-ray diffraction,y,Crystal Structure of Fab CR9114 in Complex with a H5N1 influenza virus hemagglutinin,"Wilson\, I.A.,Dreyfus\, C.",Engineered,CCD,ADSC QUANTUM 315r,BL7-1,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,H 3 2,,SSRL,,,,,,,"SODIUM THIOCYANATE,POLYETHYLENE GLYCOL 3350,TRIS",7.0
1rg5,3,Structure,12,,,Protein regulation of carotenoid binding; gatekeeper and locking amino acid residues in reaction centers of Rhodobacter sphaeroides.,10.1016/j.str.2004.02.037,765-73,2004,15130469,"Roszak\, A.W.,McKendrick\, K.,Gardiner\, A.T.,Mitchell\, I.A.,Isaacs\, N.W.,Cogdell\, R.J.,Hashimoto\, H.,Frank\, H.A.",REL,2018-01-31T01:00:00Z,2004-04-27T01:00:00Z,RCSB,RCSB,2003-11-11T01:00:00Z,,,"PF05239,PF03967","PRC,PRCH",PRC-barrel,"PRC-barrel domain,Photosynthetic reaction centre\, H-chain N-terminal region","IPR037097,IPR011033,IPR005652,IPR015810,IPR027275","Photosynthetic reaction centre\, H subunit\, N-terminal domain superfamily,PRC-barrel-like superfamily,Photosynthetic reaction centre\, H subunit,Photosynthetic reaction centre\, H subunit\, N-terminal,PRC-barrel domain","3.90.50.10,4.10.540.10","Alpha Beta,Few Secondary Structures","Alpha-Beta Complex,Irregular","Photosynthetic Reaction Center; Chain H\, domain 2,Photosynthetic Reaction Center; Chain H\, domain 1","Photosynthetic Reaction Center\, subunit H\, domain 2,Photosynthetic Reaction Center\, subunit H\, domain 1",,,,,"GO:0022900,GO:0015979,GO:0018298,GO:0019684,GO:0055114,GO:0042314,GO:0016168,GO:0045156,GO:0042717,GO:0030077,GO:0016020,GO:0016021","electron transport chain,photosynthesis,protein-chromophore linkage,photosynthesis\, light reaction,oxidation-reduction process","bacteriochlorophyll binding,chlorophyll binding,electron transporter\, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","plasma membrane-derived chromatophore membrane,plasma membrane light-harvesting complex,membrane,integral component of membrane","All beta proteins,Membrane and cell surface proteins and peptides","PRC-barrel domain,Single transmembrane helix","PRC-barrel domain,Photosystem II reaction centre subunit H\, transmembrane region","Photosynthetic reaction centre\, H-chain\, cytoplasmic domain,Photosystem II reaction centre subunit H\, transmembrane region",P0C0Y7,RCEH_RHOSH,1.0,,,X-ray diffraction,y,Structure of the photosynthetic reaction centre from Rhodobacter sphaeroides carotenoidless strain R-26.1,"Gardiner\, A.T.,Cogdell\, R.J.,Roszak\, A.W.,Hashimoto\, H.,Isaacs\, N.W.",Natural,CCD,ADSC QUANTUM 4,PX9.6,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 31 2 1,,SRS,,,,,,,,
